"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
100096,"Albrecht P.",2001,"Příspěvek ke květeně přírodního parku Velký Kosíř.","Přírod. Stud. Muz. Prostějovska, Prostějov, 4: 9-12."
100097,"Ekrtová E. et Ekrt L.",2008,"Floristický a vegetační průzkum horní části údolí potoka Strouha u Telče.","Acta Rer. Natur., Jihlava, 4: 17-30."
100098,"Plunder M., Ekrtová E. et Čech L.",2008,"Floristický a vegetační průzkum lokality Pilný rybník v Jihlavských vrších.","Acta Rer. Natur., Jihlava, 4: 43-50."
100099,"Lustyk P.",2008,"Floristický a vegetační průzkum lokality Nad Vírem.","Acta Rer. Natur., Jihlava, 5: 147-152."
100100,"Plunder M.",2008,"Floristický a vegetační inventarizační průzkum Přírodní rezervace Rašeliniště Bažanka.","Acta Rer. Natur., Jihlava, 5: 153-168."
100101,"Ekrt L. et Ekrtová E.",2008,"Květena a vegetace Přírodní památky Toužínské stráně u Dačic.","Acta Rer. Natur., Jihlava, 5: 207-228."
100102,"Sýkorová J. et Višňák R.",2009,"Okřešnické louky - nová přírodní památka na Českolipsku. Botanický průzkum.","Bezděz, Česká Lípa, 18: 193-212."
100103,"Kubíková J.",2005,"Příspěvek k vegetaci a květeně přírodní památky 'Kalvárie v Motole' v Praze.","Natura Prag., Praha, 17: 5-12."
100104,"Navrátilová Z.",2005,"Řezan pilolistý (Stratoites aloides) nalezen v Praze.","Natura Prag., Praha, 17: 13-16."
100106,"Vrška T., Hort L., Odehnalová P., Adam D. et Horal D.",2001,"Razula virgin forest after 23 years (1972-1995).","J. Forest Sci., Praha, 47: 15-37."
100107,"Špulák O.",2008,"Půdy a lesní společenstva přírodní rezervace Ostaš a přírodní památky Kočičí skály na Broumovsku.","Příroda, Praha, 26: 85-105."
100108,"Unar J.",2008,"Flóra a vegetace národní přírodní památky Rudické propadání.","Příroda, Praha, 26: 107-129."
100109,"Simonová D.",2008,"Rostlinná společenstva zdí na jižní a západní Moravě.","Příroda, Praha, 26: 65-83."
100110,"Balátová-Tuláčková E.",2001,"Prodromus vlhkých luk a vysokobylinných porostů v okolí Brna.","Sborn. Klubu Přírod. Brno, (1989-2000): 20-28."
100111,"Šandová M.",1994,"Záchranný botanický průzkum v části toku potoka Chejlava (okres Rokycany).","Sborn. Muz. Dr. Bohuslava Horáka Rokycany, suppl Přír., 1: 1-17."
100112,"Šandová M.",1994,"Záchranný botanický průzkum lokality Drahouš a přilehlé části údolí řeky Klabavy (okres Rokycany).","Sborn. Muz. Dr. Bohuslava Horáka Rokycany, suppl Přír., 1: 18-36."
100113,"Mrkvička J., Veselá M., Klimeš F. & Kocourková D.",2006,"The changes of species richness and diversity of foxtail type stand during long-term fertilization.","Sci. Agric. Bohem., Praha, 37: 41-48."
100114,"Möllerová J.",2004,"Podzemní boimasa Calamagostis villosa.","Zpr. Lesn. Výzk., Praha, 49/1-4: 26-28."
100115,"Hájková P. & Hájek M.",2005,"Diversity of Calthion wet meadows in the western part of flysch Carpathians: regional classification based on national formal definitions.","Thaiszia, Košice, 15: 85-116."
100116,"Petřík Z.",2007,"Biogeografická specifika žlebů ve Východní části Národního parku Podyjí.","Thayensia, Znojmo, 7: 207-221."
100117,"Šefl J.",2000,"O výskytu oskeruše Sorbus domestica L., jeřábu polozpeřeném Sorbus × pinnatifida (Smith.) Düll a latifolioidních hybridech na území Národního parku Podyjí.","Thayensia, Znojmo, 3: 63-73."
100118,"Koutecký P.",2011,"Nález vítodu douškolistého (Polygala serpyllifolia) v jižních Čechách.","Zpr. Čes. Bot. Společ., Praha, 46: 39-44."
100119,"Hadinec J. et Lustyk P. [eds]",2011,"Additamenta ad floram Reipublicae Bohemicae. IX.","Zpr. Čes. Bot. Společ., Praha, 46: 51-160."
100120,"Krolová M., Čížková H. et Hejzlar J.",2010,"Faktory ovlivňující výskyt vodních makrofyt v nádrži Lipno.","Silva Gabreta, Vimperk, 16: 61-92."
