"SYNTAXON","SYNTAXON_NAME"
"VBB12","Potametum praelongi"
"VBB13","Potametum zizii"
"VBB14","Parvo-Potamo-Zannichellietum pedicellatae"
"VBB15","Potametum trichoidis"
"VBB16","Najadetum marinae"
"VBB17","Najadetum minoris"
"VBB18","Potametum crispi"
"VBB19","Potametum crispo-obtusifolii"
"VBB20","Potametum pectinati"
"VBB21","Potametum pusilli"
"VBB22","Potametum acutifolii"
"VBB23","Potametum friesii"
"VBC","Batrachion fluitantis"
"VBC01","Ranunculetum fluitantis"
"VBC02","Myriophylletum alterniflori"
"VBC03","Callitricho hamulatae-Ranunculetum fluitantis"
"VBD","Ranunculion aquatilis"
"VBD01","Ranunculetum aquatilis"
"VBD02","Potamo crispi-Ranunculetum trichophylli"
"VBD03","Potamo perfoliati-Ranunculetum circinati"
"VBD04","Batrachietum rionii"
"VBD05","Ranunculetum baudotii"
"VBD06","Hottonietum palustris"
"VBD07","Callitrichetum hermaphroditicae"
"VC","Charetea"
"VCA","Nitellion flexilis"
"VCA01","Nitelletum flexilis"
"VCA02","Charetum braunii"
"VCB","Charion globularis"
"VCB01","Charetum globularis"
"VCB02","Magno-Charetum hispidae"
"VCB03","Charetum vulgaris"
"VCB04","Tolypelletum glomeratae"
"VCB05","Tolypello intricatae-Charetum"
"VD","Littorelletea uniflorae"
"VDA","Littorellion uniflorae"
"VDA01","IsoŰtetum echinosporae"
"VDA02","IsoŰtetum lacustris"
"VDB","Eleocharition acicularis"
"VDB01","Eleocharito-Littorelletum uniflorae"
"VDB02","Ranunculo-Juncetum bulbosi"
"VDB03","Limosello aquaticae-Eleocharitetum acicularis"
"VDB04","Pilularietum globuliferae"
"VDB05","Luronietum natantis"
"VDC","Sphagno-Utricularion"
"VDC01","Sparganio minimi-Utricularietum intermediae"
"VDC02","Sphagno-Utricularietum ochroleucae"
"VDC03","Scorpidio scorpioidis-Utricularietum"
"XA","Polygono arenastri-Poetea annuae"
"XAA","Coronopodo-Polygonion arenastri"
"XAA01","Polygonetum arenastri"
"XAA02","Sclerochloo durae-Polygonetum arenastri"
"XAA03","Poo annuae-Coronopodetum squamati"
"XAA04","Eragrostio minoris-Polygonetum arenastri"
"XAB","Saginion procumbentis"
"XAB01","Sagino procumbentis-Bryetum argentei"
"XAB02","Herniarietum glabrae"
"XAB03","Rumici acetosellae-Spergularietum rubrae"
"XAB04","Poetum annuae"
"XAB05","Lolio perennis-Matricarietum discoideae"
"XB","Stellarietea mediae"
"XBA","Caucalidion"
"XBA01","Caucalido platycarpi-Conringietum orientalis"
"XBA02","Lathyro tuberosi-Adonidetum aestivalis"
"XBA03","Euphorbio exiguae-Melandrietum noctiflori"
"XBA04","Stachyo annuae-Setarietum pumilae"
"XBA05","Veronicetum hederifolio-triphylli"
"XBB","Veronico-Euphorbion"
"XBB01","Mercurialietum annuae"
"XBB02","Veronico-Lamietum hybridi"
"XBC","Scleranthion annui"
"XBC01","Aphano arvensis-Matricarietum chamomillae"
"XBC02","Spergulo arvensis-Scleranthetum annui"
"XBC03","Erophilo vernae-Arabidopsietum thalianae"
"XBD","Arnoseridion minimae"
"XBD01","Sclerantho annui-Arnoseridetum minimae"
"XBE","Oxalidion fontanae"
"XBE01","Echinochloo cruris-galli-Chenopodietum polyspermi"
"XBF","Spergulo arvensis-Erodion cicutariae"
"XBF01","Setario pumilae-Echinochloetum cruris-galli"
"XBG","Atriplicion"
"XBG01","Chenopodietum stricti"
"XBG02","Chenopodietum urbici"
"XBG03","Atriplicetum nitentis"
"XBG04","Descurainio sophiae-Atriplicetum oblongifoliae"
"XBG05","Cynodonto dactyli-Atriplicetum tataricae"
"XBG06","Atriplicetum roseae"
"XBG07","Sisymbrietum loeselii"
"XBG08","Descurainietum sophiae"
"XBG09","Sisymbrietum altissimi"
"XBG10","Chamaeplietum officinalis"
"XBG11","Conyzo canadensis-Lactucetum serriolae"
"XBG12","Ivaetum xanthiifoliae"
"XBG13","Kochietum densiflorae"
